marka,model,il,yurus,muherrik,qiymet
Opel,Astra,1995,327000,1.6,4900
LADA,(VAZ) 2115,2020,75000,1.5,7800
Mitsubishi,Pajero,2006,255000,3.0,21500
LADA,(VAZ) 2115,2020,174900,1.5,9000
BYD,Destroyer 05,2020,1900,1.5,23300
BMW,528,2020,85900,2.0,29900
Kia,Sorento,2017,137000,2.0,37900
Chevrolet,Equinox,2020,160510,1.5,23000
Hyundai,Santa Fe,2009,260000,2.0,20800
LADA,(VAZ) Niva,2014,174000,1.7,14300
Mazda,6,2020,250000,2.3,5200
Volkswagen,Jetta,2019,191000,1.4,25400
Mercedes,GLE 350 e 4MATIC,2022,90000,2.0,127500
Changan,Uni-Z,2025,7300,1.5,32900
Toyota,Land Cruiser,2001,165000,4.2,7900
Land,Rover Range Rover,2011,237000,5.0,27800
Land,Rover RR Evoque,2012,185000,2.0,31500
BMW,530,2020,350000,2.9,6900
BMW,530e,2024,14000,2.0,144547
Mercedes,S 350,2020,298000,3.5,29000
Ford,Bronco Sport,2021,64374,1.5,29000
BMW,330,2020,250000,3.0,17400
Kia,K5,2020,73193,1.6,35500
Toyota,Prius,2008,234000,1.5,13500
Hyundai,i30,2020,210000,2.0,14700
Mercedes,E 200,2002,210500,2.0,30800
Kia,Sportage,2012,118000,2.4,22500
Hyundai,Grandeur,2015,242000,2.2,27000
Kia,Rio,2014,247741,1.2,12500
Ford,Transit,2009,186000,3.2,24500
Mercedes,E 220,2020,312000,2.1,20800
Toyota,Aqua,2017,73000,1.5,18000
Mercedes,C 220,2020,261000,2.2,26000
Land,Rover Range Rover,2020,73000,3.0,113900
Toyota,Land Cruiser,2010,274000,4.0,39500
BMW,X5,2020,90000,4.8,38800
Changan,Qiyuan Q07,2020,4900,1.5,44700
LADA,(VAZ) 21099,2020,225000,1.6,8000
Toyota,HiAce,2009,105600,2.5,15800
Mercedes,Sprinter 316,2020,777000,2.2,42500
Mercedes,C 180,2020,390000,1.8,10800
FAW,Bestune B30,2020,19999,1.6,16500
Changan,CS 75 Plus,2023,17000,1.5,37900
BYD,Leopard 5,2020,14000,1.5,71900
Tesla,Model X,2017,201789000,2.0,57000
Mercedes,EQC 400 4MATIC,2022,202235000,2.0,77000
Changan,Eado,2025,0,1.5,28900
Geely,Galaxy Starship 7,2020,0,1.5,31900
Changan,Qiyuan Q07,2020,0,1.5,50000
Toyota,Prius,2007,400000,1.5,12000
Toyota,Aqua,2020,37000,1.5,20700
JAC,JS3,2020,0,1.6,24000
Geely,Coolray,2021,96400,1.5,24700
Jaguar,XFR,2009,160000,5.0,29750
Toyota,Highlander,2024,5510,2.5,87000
Land,Rover Range Rover,2013,180000,5.0,53000
Hyundai,Elantra,2022,31600,2.0,31800
Lexus,RX 300,2020,91000,2.0,59330
BMW,328,2020,156000,2.0,30000
MAN,TGA 18.440,2020,1500000,12.0,49900
Ford,Tourneo Connect,2007,457000,1.8,14500
GAZ,"3110 ""Volga""",2020,225000,2.3,4200
Mercedes,GLC 300,2020,193000,2.0,41500
Volkswagen,Golf,2000,250000,1.4,4800
Ford,Transit,2008,173000,2.2,17700
ROX,(Polar Stone) 01,2020,0,1.5,105999
Chevrolet,Equinox,2018,91733,1.5,22300
Geely,Galaxy Starship 7,2020,0,1.5,37700
Changan,Qiyuan Q07,2020,0,1.5,44000
Leapmotor,C16,2020,0,1.5,54500
JETOUR,T2 i-DM,2025,0,1.5,66500
Changan,Qiyuan A05,2020,0,1.5,27700
Changan,Qiyuan A05,2020,0,1.5,28900
Changan,Qiyuan Q05,2020,0,1.5,31500
BYD,Destroyer 05,2020,0,1.5,24400
Hyundai,Tucson,2006,231000,2.0,15000
BMW,X6,2020,176000,3.0,36800
Nissan,X-Trail,2008,142837,2.5,15800
Mercedes,S 400,2020,226000,3.0,50150
Changan,Deepal S09,2020,0,1.5,85000
Changan,Qiyuan Q07,2020,0,1.5,44900
Mercedes,GLS 450 4MATIC,2025,0,3.0,259556
Mitsubishi,Pajero,2006,210000,3.0,14300
BMW,530,2020,109030,2.0,42500
Volkswagen,ID.6 Crozz,2023,202352000,2.0,33999
Bestune,T99,2020,33000,2.0,34500
Kia,Optima,2019,130172,2.0,29500
BMW,528,2020,220000,2.0,28000
Bestune,T99,2020,33000,2.0,32300
Mercedes,C 220,2020,335544,2.2,6800
Mercedes,Vito,2007,324000,2.1,16200
Kia,Sportage,2008,149000,2.0,16900
Kia,Sportage,2016,169000,2.0,32900
Hyundai,Santa Fe,2015,169000,2.0,30900
BMW,528,2020,260000,2.0,29900
Hyundai,Sonata,2015,89000,2.0,24900
Mini,Countryman,2015,147000,1.6,19900
Mercedes,GLC 300,2020,141622,2.0,59900
BMW,X5,2020,118000,3.0,47430
Nissan,X-Trail,2012,174000,2.5,19900
Kia,K3,2020,198000,1.6,19900
Mercedes,E 240,2020,348000,2.4,14600
Mercedes,S 350,2020,199860,3.5,26500
Chevrolet,Niva,2003,350000,1.7,7800
Hyundai,Grandeur,2023,36000,1.6,63000
Changan,Uni-V iDD,2023,49000,1.5,29900
BMW,730,2020,152000,3.0,20700
Toyota,Camry,2011,300000,2.4,15400
LADA,(VAZ) 2107,2020,28000,1.5,2000
Mercedes,Sprinter 316,2020,657000,2.2,48500
LADA,(VAZ) 2107,2020,250000,1.6,4700
Changan,Qiyuan Q07,2020,0,1.5,48550
Mitsubishi,Eclipse Cross,2025,0,2.0,47500
Hyundai,Elantra,2017,135000,2.0,22800
BMW,M3,2020,93000,3.0,110500
Hyundai,Sonata,2013,219000,2.0,18900
Porsche,Cayenne S,2016,96000,3.6,67150
BMW,X7,2020,197000,3.0,98600
Jeep,Grand Cherokee,2014,282000,3.0,41000
Jeep,Grand Cherokee,2012,185785,3.6,21600
Land,Rover Range Rover,2014,220000,3.0,67500
Toyota,Land Cruiser Prado,2012,72064,2.7,42500
Mercedes,E 300 4MATIC,2017,165000,2.0,46500
Changan,Qiyuan Q07,2020,0,1.5,42200
Hyundai,Grandeur,2017,158000,2.4,33000
LADA,(VAZ) 2107,2020,20257,1.5,4700
BYD,Seal 05,2020,0,1.5,24500
BYD,Qin Plus,2025,0,1.5,24500
Toyota,Corolla,2021,62000,1.6,34200
LADA,(VAZ) 2115,2020,313546,1.6,6400
Volkswagen,Passat,2002,400000,1.8,7500
Moskvich,412,2020,66300,1.5,8000
Mercedes,C 240,2020,398642,2.4,13000
Hyundai,Santa Fe,2007,200600,2.7,17500
Nissan,Sunny,2019,162994,1.5,17500
BMW,528,2020,145000,2.0,28900
LADA,(VAZ) 2106,2020,98000,1.5,1900
Land,Rover Range Rover,2016,113000,3.0,74900
Toyota,Land Cruiser Prado,2006,214000,2.7,25500
BMW,530e,2024,17000,2.0,139400
Ford,Fusion (North America),2019,157716,1.5,20200
Kia,Soul,2012,195766,1.6,17900
Nissan,Teana,2008,345000,2.5,14900
Alfa,Romeo Stelvio,2022,0,2.0,86190
Changan,Qiyuan Q07,2020,0,1.5,43000
Mercedes,SL 43 AMG,2023,22000,2.0,215900
Toyota,Land Cruiser Prado,2012,199000,2.7,49000
BYD,Qin Plus,2025,0,1.5,26800
Porsche,718 Cayman GT4 RS,2024,4800,4.0,392596
Ford,Bronco,2024,6000,2.7,115600
BMW,520,2020,146116,2.0,43800
Kia,K5,2020,181000,2.0,29000
Changan,Qiyuan A05,2020,23000,1.5,36000
MAN,TGA 18.440,2020,999000,12.0,81600
Kia,Carens,2006,258000,2.0,13200
Toyota,Prius,2012,513941,1.8,16900
Hyundai,Getz,2005,254000,1.3,8400
Ford,Transit,2007,440000,2.4,17500
Opel,Vectra,1996,201066,1.6,4800
Lifan,520,2020,300000,1.6,2500
Ford,Fusion (North America),2018,131000,1.5,28400
Ford,Fusion (North America),2019,239000,1.5,22500
Hyundai,Elantra,2022,90000,1.6,26500
Changan,Deepal S07,2020,0,1.5,49200
BMW,528,2020,255000,2.0,23800
Kia,Rio,2014,133000,1.6,13800
Kia,Rio,2017,203500,1.6,18500
Tesla,Model 3,2020,3202350000,2.0,34500
Opel,Astra,1996,374000,1.6,5900
Chevrolet,Malibu,2018,250000,1.5,17300
BMW,328,2020,190000,2.0,25800
BYD,Destroyer 05,2020,0,1.5,25000
Mercedes,GL 500 4MATIC,2013,85000,4.7,68850
Changan,Qiyuan Q07,2020,0,1.5,42500
ZEEKR,9X,2025,0,2.0,213900
Kia,Sorento,2015,180000,2.0,37500
Land,Rover Discovery Sport,2019,127127,2.0,47500
Toyota,Camry,2006,268000,3.5,16900
Opel,Astra,2008,220000,1.8,13700
Hyundai,Elantra,2018,193121,2.0,23400
Changan,Qiyuan Q07,2020,0,1.5,50500
Ford,Transit,1999,230000,2.5,13700
Toyota,Avalon,2025,0,2.5,65900
Land,Rover RR Evoque,2019,93000,2.0,54400
Mitsubishi,Pajero,2008,63400,3.0,28000
LADA,(VAZ) Niva,2015,140000,1.7,11000
BMW,525,2020,286542,2.5,8100
LADA,(VAZ) 2107,2020,72564,1.6,4500
Mercedes,ML 320,2020,278000,3.2,8400
Changan,Qiyuan Q05,2020,0,1.5,30000
Lexus,LX 470,2020,292000,4.7,26000
LADA,(VAZ) 2106,2020,267000,1.6,5300
GAZ,"3110 ""Volga""",2020,450000,2.1,5600
LADA,(VAZ) 2107,2020,20008,1.6,5000
Jeep,Wrangler,2023,20400,2.0,69900
Hyundai,Sonata,2008,240000,2.0,21400
Porsche,Cayenne S,2020,226000,2.9,70550
Mercedes,E 320,2020,242000,3.2,12200
Mercedes,C 200,2002,300000,2.0,12200
Cadillac,CTS,2014,240000,2.0,23000
Mitsubishi,Outlander Sport,2025,0,1.5,45800
Toyota,Hilux,2021,293944,2.4,38300
Land,Rover Range Rover,2024,0,3.0,342720
Toyota,Prius,2008,270676,1.5,11900
Changan,Uni-Z,2025,0,1.5,34500
Honda,CR-V,2025,2800,2.0,61500
Changan,Uni-Z,2025,0,1.5,34000
Mercedes,GLS 450 4MATIC,2025,0,3.0,197200
Mercedes,E 350,2020,235000,3.5,24999
KamAz,65115,2020,580000,11.0,20000
Mercedes,E 350,2020,223000,3.5,20500
Mercedes,Vito 111 CDI,2001,400000,2.1,12000
Toyota,Camry,2018,138000,2.5,38500
Ford,Transit,2008,220000,2.4,20500
Mercedes,C 200,2002,187000,2.0,31800
Mercedes,C 220,2020,450000,2.2,10800
Khazar,LD,2020,250000,1.7,12500
Toyota,Land Cruiser Prado,2014,125670,2.7,47500
Mercedes,C 300,2020,128000,2.0,36500
LADA,(VAZ) 2106,2020,212350,1.5,3500
Mazda,CX-60,2020,11200,2.5,67900
Chevrolet,Cruze,2015,288000,1.4,13800
DAF,105 XF,2011,999870,13.0,25500
Changan,Qiyuan Q05,2020,0,1.5,28000
Toyota,Land Cruiser,2012,219000,4.0,47260
Geely,Monjaro,2025,0,1.5,50200
BMW,430,2020,183213,2.0,27500
Changan,Qiyuan Q07,2020,0,1.5,45500
LADA,(VAZ) Priora,2008,423000,1.6,8100
Lexus,GX 460,2020,190000,4.6,48900
Hyundai,Sonata,2005,153000,2.4,13900
Renault,Megane,2008,336800,1.6,4800
Mercedes,GL 350 4MATIC,2015,175000,3.0,70000
JMC,Touring,2025,0,2.0,58500
Changan,Qiyuan Q07,2020,0,1.5,46899
Fiat,Doblo,2025,0,1.6,41500
BYD,Qin Plus,2025,0,1.5,25500
Land,Rover Range Rover,2018,116000,3.0,72250
Mercedes,S 580 4MATIC,2021,40000,4.0,181900
Hyundai,Elantra,2023,51850,1.6,36000
Kia,Sportage,2014,141000,2.0,24400
Mercedes,GLE 450 e 4MATIC,2023,20000,2.0,139400
Mercedes,G 63 AMG,2018,79260,4.0,275400
Hyundai,Tucson,2022,92000,2.0,41000
LADA,(VAZ) Granta,2024,74511,1.6,16000
Ford,Fusion (North America),2019,199797,1.5,18900
LADA,(VAZ) 2107,2020,26791,1.7,6500
Mercedes,C 200,2002,350000,1.8,13000
Ford,Fusion (North America),2018,125000,1.5,21700
Toyota,Aqua,2019,171000,1.5,16900
BMW,523,2020,369886,2.5,9200
Kia,Cerato,2012,223410,1.6,16800
Toyota,Corolla Fielder,2016,243000,1.5,22500
LADA,(VAZ) Niva,2008,400000,1.7,6700
Changan,Uni-Z,2025,0,1.5,32500
Lincoln,MKZ,2016,217000,2.0,20000
Hyundai,Grandeur,2023,97500,1.6,66500
Tesla,Model 3,2020,3202327500,2.0,32400
Mitsubishi,Pajero,2013,170000,3.8,28500
Mercedes,Sprinter 315,2020,186000,2.2,24500
LADA,(VAZ) 2107,2020,203000,1.6,2900
Toyota,Highlander,2011,342000,3.5,24700
Chevrolet,Equinox,2018,171000,1.5,25500
Geely,Galaxy M9,2020,0,1.5,80750
Land,Rover Range Rover,2016,176000,3.0,53000
VGV,U75 Plus,2025,0,2.0,33500
Fiat,Doblo,2019,141441,1.4,19900
Nissan,Teana,2026,0,2.0,44591
Mitsubishi,Outlander,2015,240000,3.0,26500
Kia,K5,2020,125000,1.7,25500
Kia,Rio,2014,390000,1.1,12900
Mini,Countryman,2014,188000,1.6,17000
Mercedes,C 180,2020,390000,1.8,8500
Hyundai,Sonata,2011,228722,2.4,19500
Volkswagen,ID.6 Crozz,2022,202250000,2.0,37000
Changan,Uni-Z,2025,0,1.5,33000
Mercedes,G 63 AMG,2021,45000,4.0,365500
Kia,Rio,2005,306000,1.4,10000
Changan,Eado,2025,0,1.5,29200
Li,Auto L9,2020,20000,1.5,96000
Toyota,Aqua,2019,110050,1.5,20800
Skoda,Kodiaq RS,2022,78000,2.0,37500
Mercedes,C 240,2020,350000,2.4,11900
Mercedes,E 220,2020,270000,2.1,30800
Kia,Sorento,2022,66000,1.6,60500
LADA,(VAZ) Niva,2012,308260,1.7,8800
Land,Rover Range Rover,2018,145000,3.0,83300
BMW,525,2020,238000,2.5,10000
Honda,Insight,2021,62000,1.5,28700
Kia,Sorento,2018,156214,2.0,41000
Kia,Sorento,2017,150780,2.0,43500
LADA,(VAZ) 2115,2020,229000,1.5,5700
Mercedes,E 270,2020,450000,2.7,13900
Kia,Optima,2012,262338,2.0,18000
Ford,Fusion (North America),2020,65000,1.5,21500
Mercedes,S 350,2020,217777,3.5,38500
Kia,Forte,2017,110000,2.0,21500
Ford,Transit,2007,254000,2.4,17500
Ford,Transit,2013,199500,2.2,28300
Hyundai,Santa Fe,2025,0,1.6,79900
GAC,S7,2020,0,1.5,61900
Mini,Cooper S,2025,0,2.0,100188
Ford,Fusion (North America),2018,120456,2.0,23800
Li,Auto L7,2020,10000,1.5,80000
Hyundai,Santa Fe,2023,53800,1.6,46900
BMW,528,2020,112500,2.8,14800
Toyota,Frontlander,2025,455,2.0,42400
Mercedes,E 280,2020,567800,2.8,12900
Mazda,6,2020,270000,2.5,23500
Hyundai,Sonata,2024,62000,2.0,53900
Mercedes,G 63 AMG,2023,18000,4.0,399500
Hyundai,Sonata,2007,289600,2.4,12800
Land,Rover Discovery,2008,254000,4.4,25000
Volkswagen,Touareg,2004,300000,3.2,11500
Denza,Z9 GT,2025,20257400,2.0,86700
Volkswagen,Touareg,2013,152200,3.6,28900
BMW,X5,2020,189000,2.0,48450
Kia,Sorento,2013,170000,2.4,24700
LADA,(VAZ) 2107,2020,15000,1.5,4700
Mercedes,E 200,2002,65000,2.0,61500
Mercedes,S 500,2020,123000,4.7,38500
BMW,530e,2022,51585,2.0,81600
Mazda,Tribute,2004,318400,3.0,7500
Nissan,Teana,2008,335000,2.5,13500
Hyundai,Avante,2023,114850,1.6,35500
Changan,Qiyuan Q07,2020,0,1.5,45900
BMW,750,2020,248000,4.8,16720
Ford,Fusion (North America),2014,198000,2.5,16500
Chevrolet,Cruze,2017,106500,1.4,16400
Land,Rover Range Rover,2019,99000,3.0,88060
Toyota,Corolla,2017,82000,1.5,16300
Mercedes,C 230,2020,291902,2.3,12700
BMW,530,2020,115000,2.0,44000
Li,Auto L7,2020,0,1.5,85000
Changan,Uni-K iDD,2024,0,1.5,49900
Alfa,Romeo Stelvio,2023,0,2.0,92820
Geely,Monjaro,2025,0,1.5,57900
Kia,Sorento,2018,160000,2.2,44900
Mercedes,E 300 e,2022,78000,2.0,75650
BYD,Destroyer 05,2020,0,1.5,23500
Mercedes,C 180,2020,327000,1.8,12200
Toyota,Camry,2023,55000,2.5,48000
Nissan,X-Trail,2015,128000,2.5,25900
LADA,(VAZ) 2107,2020,35000,1.6,3600
Kia,K3,2020,128748,1.6,20000
LADA,(VAZ) 2107,2020,67000,1.6,5500
JAC,JS4,2020,0,1.5,23000
Mercedes,C 240,2020,586000,2.4,10800
BMW,520,2020,117000,2.0,51000
Li,Auto L9,2020,13000,1.5,107700
KamAz,5511,2020,500000,11.0,14500
Changan,Qiyuan A05,2020,0,1.5,30000
Mercedes,C 230,2020,340000,2.3,9000
Ford,Escape,2017,205191,2.0,22000
Nissan,Maxima,2004,195000,3.0,10000
Toyota,Land Cruiser Prado,2012,260000,2.7,38200
Ducati,1199 Panigale S,2020,315000,2.0,34000
Land,Rover Range Rover,2015,244450,3.0,61000
Audi,RS7,2020,92000,4.0,83300
LADA,(VAZ) Niva,2020,438000,1.7,4500
Kia,Stonic,2019,35000,1.4,22900
Mercedes,C 220,2020,398000,2.2,6900
Mercedes,C 180,2020,250000,1.8,9100
BMW,525,2020,285000,2.5,17500
BMW,318,2020,340000,2.0,10900
Skoda,Superb,2025,0,2.0,75900
Changan,Qiyuan A05,2020,0,1.5,27000
Changan,Uni-T,2022,55000,1.5,31000
Changan,Qiyuan Q07,2020,7500,1.5,48300
Hyundai,Sonata,2008,234546,2.0,15800
Changan,Qiyuan Q07,2020,3600,1.5,40700
Mercedes,S 450 4MATIC,2018,125000,3.0,157000
Kia,Optima,2015,193000,2.0,23000
Toyota,Land Cruiser,2011,305000,4.0,35000
Mercedes,GLA 45 AMG 4MATIC,2015,131000,2.0,39950
Toyota,Prius,2014,125000,1.8,19900
Chevrolet,Cruze,2013,270000,1.4,10900
Mitsubishi,Pajero,2002,400000,3.0,10500
Kia,Rio,2006,271000,1.5,10700
LADA,(VAZ) Granta,2024,60000,1.6,21404
Kia,Sorento,2010,110000,2.0,26000
Changan,Eado,2025,0,1.5,28100
BMW,530,2020,268000,3.0,18999
Ford,Transit,2008,281000,2.4,26000
Kia,Forte,2021,67500,1.6,28500
Chevrolet,Cruze,2014,175057,1.4,12900
Mercedes,E 250,2020,267000,2.0,27500
Changan,Qiyuan Q07,2020,7000,1.5,43900
Kia,Forte,2022,37000,1.6,29500
Tesla,Model S,2015,201551658,2.0,33500
Land,Rover Range Rover,2018,105573,3.0,98600
Audi,A6,2020,158000,2.0,26800
Mercedes,C 180,2020,550000,1.8,6500
Kia,Sportage,2024,42000,1.6,54000
Toyota,Fortuner,2013,320000,2.7,26500
Mercedes,C 200,2001,254885,2.0,9200
Hyundai,Accent,2020,98300,1.6,25700
FAW,Tiger VN,2024,0,2.3,87000
Mercedes,G 55 AMG,2009,137000,5.5,74999
Mercedes,GLE 400 e 4MATIC,2025,0,2.0,195795
Changan,Qiyuan A05,2020,0,1.5,32800
Mercedes,C 200 d,2022,30000,2.0,75650
Mercedes,Sprinter 315,2020,330000,2.2,23000
LADA,(VAZ) 2107,2020,63743,1.6,9500
Changan,Uni-Z,2025,0,1.5,36000
Ford,Mustang,2017,143232,2.3,35000
Changan,Qiyuan Q07,2020,0,1.5,45700
Land,Rover Discovery Sport,2016,135000,2.0,28500
Ford,Fusion (North America),2017,196000,2.0,25000
Opel,Vectra,1996,450000,1.8,5500
Mitsubishi,Pajero,2007,343000,3.0,17500
Kia,Optima,2018,123000,2.0,25800
Hyundai,Sonata,2018,115000,2.0,29300
Audi,A5,2020,154000,2.0,21500
LADA,(VAZ) 2107,2020,77000,1.6,6300
Toyota,Prius,2008,258003,1.5,12300
Ford,Focus,2013,203000,1.6,12700
Chevrolet,Cruze,2012,312000,1.4,9990
Toyota,Corolla,2005,299000,1.8,9300
LADA,(VAZ) 2115,2020,270000,1.5,7900
Changan,Uni-Z,2025,9300,1.5,32700
Changan,Qiyuan A05,2020,0,1.5,26800
LADA,(VAZ) Niva,2010,206000,1.7,7700
Nissan,Teana,2008,260000,2.5,14399
Hyundai,Santa Fe,2015,160000,2.0,29500
Mitsubishi,Pajero,2011,233525,3.5,25500
Toyota,FJ Cruiser,2013,278000,4.0,35500
Changan,Qiyuan Q07,2020,0,1.5,43800
BYD,Seal 06,2020,95300,1.5,23500
Toyota,Land Cruiser,2022,78000,4.0,118150
Mercedes,E 320,2020,280000,3.2,18500
Tesla,Model X,2018,201886600,2.0,71400
Toyota,Highlander,2024,0,2.5,79900
JAC,J7,2020,0,1.5,24800
Toyota,Camry,2025,0,2.5,71230
Renault,Sandero Stepway,2016,147000,1.6,13900
Kia,K3,2020,75000,1.6,22200
Changan,Uni-Z,2025,0,1.5,34300
Mercedes,Vito,2008,252000,2.1,21000
Toyota,Corolla,2025,0,1.8,33800
BYD,Seal 05,2020,0,1.5,23499
BYD,Seal 05,2020,0,1.5,25900
Opel,Astra,2007,265000,1.4,11100
BMW,740,2020,135000,3.0,82450
BMW,520,2020,300000,2.0,7700
Mercedes,V 220,2020,192500,2.1,45560
LADA,(VAZ) Niva,2019,103000,1.7,14300
Nissan,Tiida,2012,120000,1.5,14800
Hyundai,i30,2020,287000,1.6,18500
Hyundai,Santa Fe,2024,0,2.5,69900
Ford,Transit,1998,450000,2.5,15800
Toyota,Camry,2025,0,2.0,63500
Opel,Astra,2013,322222,1.3,14500
Chevrolet,Cobalt,2023,125000,1.5,22100
Hyundai,i30,2020,185266,1.6,18500
Hyundai,Accent,2019,141000,1.6,21900
UAZ,Patriot,2024,19000,2.7,28689
Honda,CR-V,2008,180100,2.4,18700
Honda,CR-V,2025,0,2.0,66900
LADA,(VAZ) Kalina Cross,2015,222854,1.6,9300
JMC,Grand Avenue,2025,0,2.3,63900
Voyah,Free,2025,0,1.5,69900
Honda,Accord,2021,153726,1.5,20400
Maserati,Grecale Modena,2025,0,2.0,160407
Ford,Transit,2007,270000,2.5,12800
Mercedes,GL 550 4MATIC,2013,205360,4.7,44000
JAC,M5,2020,102000,2.0,25900
Chevrolet,Aveo,2018,163456,1.4,16300
Toyota,Land Cruiser Prado,2010,204000,2.7,34500
Mercedes,C 300 4MATIC,2016,175000,2.0,33900
Hyundai,Santa Fe,2015,120000,2.4,33000
Toyota,Land Cruiser,2012,130000,4.0,51500
Mercedes,GLC 300 4MATIC,2018,77000,2.0,51000
GAC,S7,2020,4200,1.5,62900
Opel,Astra,2006,372458,1.3,8900
BMW,328,2020,200000,2.0,24500
Kia,Sorento,2013,120000,2.0,27300
Chevrolet,Cruze,2012,213000,1.4,11500
Chevrolet,Malibu,2018,98000,1.5,18000
Changan,Qiyuan Q07,2020,0,1.5,42400
Land,Rover Range Rover,2012,120000,5.0,43000
JAC,JS3,2020,0,1.6,22000
BMW,528,2020,206000,2.0,28000
Opel,Astra,2005,474040,1.4,10300
Toyota,Avalon,2015,300000,2.5,27000
LADA,(VAZ) 2106,2020,300000,1.6,5600
Volkswagen,Polo,2004,250000,1.4,3000
Land,Rover Range Rover,2015,138000,5.0,72930
Toyota,Corolla Levin,2025,31000,1.8,37000
GAZ,GAZel (3302-18),2020,460000,2.5,19000
Ford,Escape,2017,222600,1.5,16700
Kia,Picanto,2025,0,1.2,28900
Kia,Carnival,2025,0,1.6,92400
Changan,Qiyuan Q07,2020,0,1.5,49500
Mercedes,GLE 350 e 4MATIC Coupe,2022,16500,2.0,124950
Mercedes,E 500,2020,90500,5.0,28500
Mercedes,Vito 119 CDI,2019,291000,2.1,52800
Mercedes,E 200,2002,157400,2.0,36000
GWM,(Great Wall Motor) Wingle 7,2020,149500,2.0,23500
Hyundai,Elantra,2021,62271,1.6,30500
Ford,Transit,1998,356825,2.5,11800
Lifan,320,2020,300000,1.3,6500
LADA,(VAZ) 2106,2020,115859,1.6,3700
Nissan,X-Trail,2002,255000,2.0,10500
Tesla,Model 3,2020,3202250000,2.0,36500
Chevrolet,Trax,2023,17425,1.2,28800
Ford,Fusion (North America),2016,190000,1.5,17100
Mercedes,E 300,2020,95000,2.0,54700
Hyundai,Avante,2017,137400,1.6,25500
Hyundai,Elantra,2014,168981,1.8,19800
LADA,(VAZ) Priora,2018,166000,1.8,14800
LADA,(VAZ) 2107,2020,346000,1.6,4500
BMW,528,2020,253000,2.0,21500
Kia,Rio,2008,290000,1.4,11600
Khazar,SD,2019,361000,1.7,8200
LADA,(VAZ) 2114,2020,125639,1.6,10900
Toyota,Land Cruiser Prado,2004,290000,2.7,22500
Changan,Qiyuan Q07,2020,0,1.5,44200
Land,Rover RR Sport,2019,79800,3.0,73440
